id,employeeid,log_datetime,direction,shortname,serialno
5392,1523,2024-08-10 13:53:04+00,In Device,CHECKIN,NCD8242000216
5393,1571,2024-08-19 22:05:06+00,Out Device,CHECKOUT,NCD8242000384
5394,1618,2024-08-10 13:53:07+00,In Device,CHECKIN,NCD8242000216
5395,1261,2024-08-10 13:54:32+00,In Device,CHECKIN,NCD8242000216
5396,1353,2024-08-19 22:05:28+00,Out Device,CHECKOUT,NCD8242000384
5397,1251,2024-08-19 22:05:57+00,Out Device,CHECKOUT,NCD8242000384
5398,1443,2024-08-10 13:54:38+00,In Device,CHECKIN,NCD8242000216
5399,1174,2024-08-10 13:55:08+00,In Device,CHECKIN,NCD8242000216
5400,1215,2024-08-19 22:06:02+00,Out Device,CHECKOUT,NCD8242000384
5401,854,2024-08-10 13:55:10+00,In Device,CHECKIN,NCD8242000216
5402,1071,2024-08-19 22:06:13+00,Out Device,CHECKOUT,NCD8242000384
5403,1288,2024-08-10 13:55:13+00,In Device,CHECKIN,NCD8242000216
5404,854,2024-08-19 22:06:15+00,Out Device,CHECKOUT,NCD8242000384
5405,1519,2024-08-10 13:55:13+00,In Device,CHECKIN,NCD8242000216
5406,1487,2024-08-19 22:06:17+00,Out Device,CHECKOUT,NCD8242000384
5407,1561,2024-08-10 13:55:22+00,In Device,CHECKIN,NCD8242000216
5408,1293,2024-08-19 22:06:25+00,Out Device,CHECKOUT,NCD8242000384
5409,1544,2024-08-10 13:55:33+00,In Device,CHECKIN,NCD8242000216
5410,1404,2024-08-19 22:07:57+00,Out Device,CHECKOUT,NCD8242000384
5411,1632,2024-08-10 13:55:35+00,In Device,CHECKIN,NCD8242000216
5412,1243,2024-08-19 22:07:59+00,Out Device,CHECKOUT,NCD8242000384
5413,1664,2024-08-10 13:55:38+00,In Device,CHECKIN,NCD8242000216
5414,1214,2024-08-19 22:08:01+00,Out Device,CHECKOUT,NCD8242000384
5415,790,2024-08-10 13:55:41+00,In Device,CHECKIN,NCD8242000216
5416,1496,2024-08-19 22:09:16+00,Out Device,CHECKOUT,NCD8242000384
5417,1378,2024-08-10 13:55:48+00,In Device,CHECKIN,NCD8242000216
5418,1027,2024-08-19 22:18:33+00,Out Device,CHECKOUT,NCD8242000384
5419,1101,2024-08-10 13:55:50+00,In Device,CHECKIN,NCD8242000216
5420,1529,2024-08-19 22:18:57+00,Out Device,CHECKOUT,NCD8242000384
5421,1093,2024-08-10 13:55:52+00,In Device,CHECKIN,NCD8242000216
5422,1498,2024-08-20 05:53:45+00,Out Device,CHECKOUT,NCD8242000384
5423,1316,2024-08-10 13:55:52+00,In Device,CHECKIN,NCD8242000216
5424,1101,2024-08-20 05:55:01+00,Out Device,CHECKOUT,NCD8242000384
5425,1079,2024-08-10 13:55:55+00,In Device,CHECKIN,NCD8242000216
5426,1316,2024-08-20 05:55:09+00,Out Device,CHECKOUT,NCD8242000384
5427,1120,2024-08-10 13:55:57+00,In Device,CHECKIN,NCD8242000216
5428,1372,2024-08-20 05:55:12+00,Out Device,CHECKOUT,NCD8242000384
5429,1372,2024-08-10 13:55:59+00,In Device,CHECKIN,NCD8242000216
5430,1114,2024-08-20 05:55:14+00,Out Device,CHECKOUT,NCD8242000384
5431,1590,2024-08-10 13:56:01+00,In Device,CHECKIN,NCD8242000216
5432,1546,2024-08-20 05:55:16+00,Out Device,CHECKOUT,NCD8242000384
5433,1536,2024-08-10 13:56:31+00,In Device,CHECKIN,NCD8242000216
5434,1560,2024-08-20 05:55:18+00,Out Device,CHECKOUT,NCD8242000384
5435,1416,2024-08-10 13:56:39+00,In Device,CHECKIN,NCD8242000216
5436,1386,2024-08-20 05:56:13+00,Out Device,CHECKOUT,NCD8242000384
